# Withbroe model for corona and inner solar wind
#
# Withbroe G L. The Temperature Structure, Mass, and Energy Flow in the Corona
# and Inner Solar Wind // ApJ 325:442 (1988)
#
# ADS URL: https://ui.adsabs.harvard.edu/abs/1988ApJ...325..442W
#
# Columns
# -------
#
# 0: r [R_sol]
#
# Quiet Sun
# 1: T [K]
# 2: N_e [cm-3]
# 3: V [cm/s]
#
# Polar Coronal Hole (max)
# 4: T [K]
# 5: N_e [cm-3]
# 6: V [cm/s]
#
# Equatorial Coronal Hole (min)
# 7: T [K]
# 8: N_e [cm-3]
# 9: V [cm/s]
#
# Polar Coronal Hole (min)
# 10: T [K]
# 11: N_e [cm-3]
# 12: V [cm/s]
#
1.00;0.50e6;1.1e9;9.00e4;0.50e6;5.7e8;9.00e4;0.50e6;4.2e8;1.40e5;0.50e6;3.4e8;1.30e5
1.05;1.33e6;2.3e8;3.20e5;1.12e6;1.2e8;3.30e5;1.06e6;9.3e7;5.10e5;0.99e6;7.7e7;4.20e5
1.10;1.51e6;1.3e8;4.10e5;1.28e6;6.5e7;4.60e5;1.24e6;4.7e7;8.10e5;1.16e6;3.7e7;6.60e5
1.20;1.61e6;6.2e7;4.60e5;1.39e6;2.7e7;5.90e5;1.40e6;1.9e7;1.40e6;1.30e6;1.4e7;1.10e6
1.50;1.56e6;1.5e7;6.30e5;1.41e6;5.2e6;9.70e5;1.50e6;3.5e6;2.90e6;1.41e6;2.4e6;2.50e6
2.00;1.40e6;3.1e6;1.50e6;1.33e6;9.6e5;2.80e6;1.45e6;7.2e5;5.40e6;1.42e6;4.3e5;4.90e6
3.00;1.17e6;5.6e5;3.80e6;1.20e6;1.6e5;7.30e6;1.35e6;1.4e5;9.80e6;1.39e6;7.6e4;9.40e6
4.00;1.04e6;2.0e5;5.90e6;1.13e6;5.9e4;1.13e7;1.29e6;5.2e4;1.41e7;1.36e6;2.9e4;1.34e7
5.00;0.95e6;9.9e4;7.70e6;1.09e6;2.8e4;1.52e7;1.25e6;2.6e4;1.77e7;1.34e6;1.3e4;1.77e7
6.00;0.88e6;5.8e4;9.10e6;1.07e6;1.6e4;1.84e7;1.23e6;1.6e4;2.08e7;1.24e6;8.0e3;2.13e7
8.00;0.79e6;2.6e4;1.14e7;1.03e6;7.1e3;2.35e7;1.20e6;7.1e3;2.59e7;0.99e6;3.6e3;2.64e7
10.0;0.73e6;1.4e4;1.31e7;0.92e6;3.8e3;2.81e7;1.04e6;3.8e3;3.07e7;0.88e6;2.1e3;2.94e7
